recipe_name,cuisine,base_servings,diet_tags,ingredients,prep_time,cook_time,steps,tips
Tomato Onion Rice,Indian,2,"vegetarian, vegan, gluten-free","rice:2 cup, tomato:2, onion:1, oil:2 tbsp, salt:1 tsp, cumin seeds:1 tsp","10 min","15 min","1. Heat oil, add cumin seeds. 2. Saute chopped onion until golden. 3. Add chopped tomato, cook until soft. 4. Add cooked rice and salt, mix well. 5. Serve hot.","Use leftover rice for a quicker version. Add peas or carrots for extra nutrition."
Vegetable Khichdi,Indian,3,"vegetarian, gluten-free","rice:1 cup, lentils:1 cup, carrot:1, peas:0.5 cup, onion:1, ghee:2 tbsp, turmeric:0.5 tsp, salt:1 tsp","10 min","20 min","1. Wash rice and lentils together. 2. Pressure cook with chopped vegetables, turmeric, and salt. 3. Add ghee on top before serving.","A comforting one-pot meal, easy to digest. Substitute ghee with oil for a vegan version."
Simple Pasta Aglio e Olio,Italian,2,"vegetarian, vegan","pasta:200 g, garlic:4 clove, olive oil:3 tbsp, chili flakes:1 tsp, salt:1 tsp, parsley:2 tbsp","5 min","15 min","1. Boil pasta until al dente. 2. Heat olive oil, saute sliced garlic until golden. 3. Add chili flakes and drained pasta, toss well. 4. Garnish with parsley.","Save a little pasta water to loosen the sauce if it looks dry."
Egg Bhurji,Indian,2,"non-vegetarian, gluten-free","egg:4, onion:1, tomato:1, green chili:1, oil:2 tbsp, salt:1 tsp, turmeric:0.25 tsp","5 min","10 min","1. Heat oil, saute onion, chili and tomato. 2. Add turmeric and salt. 3. Crack eggs in, scramble until cooked. 4. Serve with bread or rice.","Add grated paneer for a richer version."
Chickpea Salad,Global,2,"vegetarian, vegan, gluten-free","chickpeas:2 cup, cucumber:1, tomato:1, onion:0.5, lemon:1, olive oil:2 tbsp, salt:1 tsp","10 min","0 min","1. Drain and rinse chickpeas. 2. Chop cucumber, tomato, and onion. 3. Mix all with lemon juice, olive oil, and salt.","Best served chilled; keeps well in the fridge for 2 days."
Potato Paratha,Indian,2,vegetarian,"wheat flour:2 cup, potato:2, onion:0.5, green chili:1, oil:3 tbsp, salt:1 tsp","20 min","15 min","1. Boil and mash potato, mix with onion, chili, salt. 2. Stuff mixture into wheat dough, roll flat. 3. Cook on tawa with oil until golden on both sides.","Serve hot with curd or pickle."
Vegetable Fried Rice,Asian,2,"vegetarian, vegan","rice:2 cup, carrot:1, beans:0.5 cup, capsicum:1, soy sauce:2 tbsp, oil:2 tbsp, garlic:3 clove","10 min","10 min","1. Heat oil, saute garlic and chopped vegetables. 2. Add cooked rice and soy sauce. 3. Stir-fry on high heat for 2-3 minutes.","Use day-old cold rice for the best texture."
Lentil Soup,Global,3,"vegetarian, vegan, gluten-free","lentils:1 cup, onion:1, tomato:1, garlic:3 clove, cumin:1 tsp, salt:1 tsp, water:4 cup","10 min","25 min","1. Saute onion and garlic in a pot. 2. Add lentils, chopped tomato, cumin, salt, and water. 3. Simmer 20 minutes until lentils are soft.","Blend half the soup for a creamier texture."
Curd Rice,Indian,2,"vegetarian, gluten-free","rice:2 cup, curd:1 cup, mustard seeds:1 tsp, curry leaves:6, green chili:1, oil:1 tbsp, salt:1 tsp","5 min","5 min","1. Mix cooked rice with curd and salt. 2. Heat oil, add mustard seeds, curry leaves, and chili. 3. Pour tempering over rice and mix.","Cooling and easy on the stomach; great for a hot day."
Grilled Cheese Sandwich,Global,1,vegetarian,"bread:2 slice, cheese:2 slice, butter:1 tbsp","2 min","6 min","1. Butter one side of each bread slice. 2. Place cheese between slices, buttered sides out. 3. Grill on a pan until golden and cheese melts.","Add a thin layer of tomato or chutney for extra flavor."
